trade_date,open,high,low,close,volume
2024-05-08,5211.75,5218.0,5188.75,5212.75,1013418
2024-05-09,5209.25,5244.75,5195.0,5239.0,1094931
2024-05-10,5240.75,5264.0,5232.75,5246.25,1112925
2024-05-13,5240.5,5264.0,5233.25,5245.5,922763
2024-05-14,5241.75,5274.25,5216.75,5269.5,1252615
2024-05-15,5268.5,5337.25,5266.25,5333.0,1391029
2024-05-16,5331.5,5349.0,5315.5,5320.25,1207843
2024-05-17,5318.25,5328.75,5305.75,5327.25,1052765
2024-05-20,5329.25,5348.25,5323.75,5331.75,1031456
2024-05-21,5331.75,5347.5,5322.5,5345.25,1011849
2024-05-22,5343.5,5349.25,5306.75,5328.0,1257477
2024-05-23,5339.0,5368.25,5273.5,5285.25,2012153
2024-05-24,5285.75,5329.25,5285.75,5321.5,1264244
2024-05-28,5321.75,5339.0,5296.75,5324.75,1387872
2024-05-29,5323.75,5324.0,5268.25,5284.0,1445855
2024-05-30,5270.5,5277.0,5238.25,5253.0,1495148
2024-05-31,5250.5,5307.0,5205.5,5295.5,2452894
2024-06-03,5299.5,5313.25,5246.75,5297.25,1785532
2024-06-04,5300.25,5312.25,5262.0,5304.0,1679093
2024-06-05,5305.0,5368.25,5302.5,5366.0,1450596
2024-06-06,5367.75,5373.25,5345.25,5364.0,1228240
2024-06-07,5362.0,5385.5,5329.0,5355.75,1591439
2024-06-10,5351.5,5375.75,5338.25,5371.25,1185881
2024-06-11,5369.75,5386.25,5334.5,5384.0,1413433
2024-06-12,5384.5,5454.5,5380.0,5427.5,1899786
2024-06-13,5436.25,5452.75,5408.5,5438.5,1682858
2024-06-14,5436.0,5443.0,5397.75,5437.5,1789793
2024-06-17,5435.5,5494.0,5424.75,5478.5,1589643
2024-06-18,5480.25,5494.0,5473.5,5491.0,820053
2024-06-20,5492.75,5518.5,5458.5,5476.75,571332
2024-06-21,5477.0,5483.75,5460.5,5471.89013671875,1392213
2024-06-24,5538.5,5558.5,5510.25,5517.0,1410359
2024-06-25,5516.0,5539.75,5511.0,5537.0,1141183
2024-06-26,5535.0,5551.75,5516.25,5543.5,1197372
2024-06-27,5533.0,5555.0,5515.75,5546.0,1257121
2024-06-28,5548.25,5585.0,5510.75,5521.5,1855777
2024-07-01,5534.25,5541.0,5504.5,5533.75,1432355
2024-07-02,5533.5,5569.75,5502.75,5568.75,1315097
2024-07-03,5563.75,5595.75,5559.75,5590.25,808966
2024-07-05,5591.0,5626.0,5585.0,5621.5,1233173
2024-07-08,5612.0,5637.5,5610.75,5625.25,981186
2024-07-09,5627.75,5645.75,5626.25,5631.25,1063568
2024-07-10,5631.75,5690.5,5630.75,5688.0,1200224
2024-07-11,5684.25,5707.75,5630.0,5639.75,1970766
2024-07-12,5638.5,5708.25,5621.25,5664.75,1684437
2024-07-15,5681.0,5718.75,5665.5,5683.0,1701349
2024-07-16,5688.75,5721.25,5673.0,5717.25,1485113
